state,raceEthnicity,sex_gender_standardized,ageCat,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,Black,Male,18-34,30,-2.1924666823385657,0.07893392779147256,0.11164102575029151,0.09563902432623624,0.1303204284901737,28850,0.10571923743500866
AL,Black,Male,18-34,60,-2.8464565753540203,0.10990791837363376,0.058049651438905225,0.04679999714877679,0.07200346661274244,28850,0.05909878682842288
AL,Black,Male,18-34,90,-3.328812039488109,0.12774971177523992,0.035835651129590806,0.027898094956839252,0.0460315979950782,28850,0.03736568457538995
AL,Black,Male,35-49,30,-2.63378061583962,0.07902746573620564,0.0718064757249517,0.06150285992089801,0.08383626326758942,28850,0.07629116117850954
AL,Black,Male,35-49,60,-3.27985472870151,0.11001808329479404,0.03763372350997039,0.030333996170196168,0.046690094416786475,28850,0.04048526863084922
AL,Black,Male,35-49,90,-3.774424651625975,0.12789050811881347,0.022950291256846642,0.017861897940700804,0.029488236385781626,28850,0.02492201039861352
AL,Black,Male,50-64,30,-3.663855590960395,0.07943200374240741,0.02563348970171283,0.02193790190396157,0.029951624232997517,28850,0.029948006932409014
AL,Black,Male,50-64,60,-4.339640095718552,0.11049297145612663,0.01304122095017253,0.01050186582151959,0.016194593109608954,28850,0.01466204506065858
AL,Black,Male,50-64,90,-4.842627609360208,0.12847979013865074,0.007886304674922363,0.006130718222210652,0.01014461914109569,28850,0.009358752166377816
AL,Black,Male,65+,30,-5.810872015221038,0.08309992945815736,0.002994817406986296,0.002544693969178892,0.0035245618568751393,28494,0.0029830841580683653
AL,Black,Male,65+,60,-6.521401878319954,0.1149719491573186,0.0014716046449857333,0.0011746996772321482,0.0018435522483893634,28494,0.0012634238787113076
AL,Black,Male,65+,90,-7.027196165149342,0.1340918472198762,8.874164648570899e-4,6.823203040641532e-4,0.0011541617293355693,28494,7.369972625815961e-4
AL,Hispanic,Female,<18,30,-7.602623704487708,0.7162248442259894,4.991401177734521e-4,1.2262267457078204e-4,0.0020317682520216334,NA,NA
AL,Hispanic,Female,<18,60,-8.427159579267679,1.0100255416518704,2.188422123743753e-4,3.0227052259291628e-5,0.0015844057007639396,NA,NA
AL,Hispanic,Female,<18,90,-8.595684037555898,1.0120728775885606,1.849021045466053e-4,2.543688104707309e-5,0.0013440636924980922,NA,NA
AL,Hispanic,Female,18-34,30,-2.748373697961871,0.08141668972759217,0.06403191180359691,0.05458765735426534,0.07511012430181241,239,0.07112970711297072
AL,Hispanic,Female,18-34,60,-3.531660992409037,0.11266203976228485,0.029256281026470165,0.02345962236715834,0.03648524115622739,239,0.0502092050209205
AL,Hispanic,Female,18-34,90,-4.112618051708502,0.13108261068560043,0.016364874306162548,0.012657121628279816,0.021158768867175385,239,0.029288702928870293
