STATE,sex,race,Total,se
KS,Male,Hispanic,10126.993258396966,2862.7571347185
KS,Male,"Multiracial, other, or missing",9258.403944424583,3952.0706555098295
KY,Male,White (NH),162687.5451667391,15667.559526702738
KY,Male,Black (NH),39769.104473089086,11913.913227473202
KY,Male,Hispanic,5431.417176698811,2243.519769835582
KY,Male,"Multiracial, other, or missing",1844.9967860734178,511.2506746281194
LA,Male,White (NH),72532.87986694896,9069.704796703076
LA,Male,Black (NH),111001.42174751668,18435.278295709984
LA,Male,Hispanic,5790.710862557896,2696.5248542509207
LA,Male,"Multiracial, other, or missing",8228.410338212921,4979.036184004269
MA,Male,White (NH),20306.289413086317,3670.5661069414373
MA,Male,Black (NH),14601.454065767866,4917.146295163453
MA,Male,Hispanic,15073.620479017427,4335.942264616239
MA,Male,"Multiracial, other, or missing",2200.636042128391,623.9770030621233
MD,Male,White (NH),22832.15453296564,3404.5353181644064
MD,Male,Black (NH),35678.43126106474,10336.090556125859
MD,Male,Hispanic,4262.580988082754,2174.3075063405477
MD,Male,"Multiracial, other, or missing",948.3569494741879,371.80000958407135
ME,Male,White (NH),19623.690495221228,4284.626284376374
ME,Male,Black (NH),2395.6223822268303,937.862944907131
ME,Male,Hispanic,757.5741077986988,289.0006480950639
ME,Male,"Multiracial, other, or missing",763.0043191010815,250.11518696248348
MI,Male,White (NH),121240.77289980992,13421.436264215268
MI,Male,Black (NH),76163.35954189612,20295.91160371872
MI,Male,Hispanic,10039.855508308572,2777.838662385886
MI,Male,"Multiracial, other, or missing",9596.934781436816,2624.407165568656
MN,Male,White (NH),73761.52243246805,11053.620923487695
MN,Male,Black (NH),43232.88139687374,17252.084183700033
MN,Male,Hispanic,10185.694511462867,2944.255302060083
MN,Male,"Multiracial, other, or missing",24945.368632206835,6684.131916938481
MO,Male,White (NH),131564.48411714853,14966.19190563774
MO,Male,Black (NH),57342.224975397556,17694.814730535712
MO,Male,Hispanic,5999.385818369146,1209.7912749723484
MO,Male,"Multiracial, other, or missing",10877.422907861648,5635.03840970162
MS,Male,White (NH),45558.77016982768,6150.849692213763
MS,Male,Black (NH),54119.71168609549,6941.483682571135
MS,Male,Hispanic,9603.038555995437,6896.092336786782
MS,Male,"Multiracial, other, or missing",11533.418898835534,7158.656984792346
MT,Male,White (NH),22764.391753293814,4972.864425762588
MT,Male,Black (NH),903.2005518986964,261.4629688104911
MT,Male,Hispanic,707.9695570870088,271.27401191841153
MT,Male,"Multiracial, other, or missing",7096.574794611689,1922.8268831782075
NC,Male,White (NH),137929.23911808632,12940.125098928851
NC,Male,Black (NH),130504.34223660851,22325.252882568802
NC,Male,Hispanic,14111.408216020707,2632.301491105154
NC,Male,"Multiracial, other, or missing",7891.279373354744,2782.8976464510215
ND,Male,White (NH),19253.626134240396,5612.938132748266
ND,Male,Black (NH),3980.486018640637,1340.8630800030603
ND,Male,Hispanic,1622.3584796873597,632.1200845114314
ND,Male,"Multiracial, other, or missing",9887.529367431607,2858.2014469831347
NE,Male,White (NH),29061.20811709414,6998.778495357717
NE,Male,Black (NH),10643.677205998203,6122.149952620982
NE,Male,Hispanic,7520.3037051247165,2672.9746018237342
NE,Male,"Multiracial, other, or missing",3262.387567527531,1010.9987087602198
NH,Male,White (NH),12121.742743974744,2434.588591787868
NH,Male,Black (NH),2260.51957705176,989.2418849977935
NH,Male,Hispanic,1858.3850179991466,1148.8546885489104
NH,Male,"Multiracial, other, or missing",752.352660974349,434.2350253147935
NJ,Male,White (NH),27990.798398747684,4055.6056984794036
NJ,Male,Black (NH),47464.384362997975,9308.579479683554
NJ,Male,Hispanic,24210.856724454512,6950.142511552032
NJ,Male,"Multiracial, other, or missing",2215.9779772895454,645.0117558095952
NM,Male,White (NH),27864.9597369013,8519.239640178865
NM,Male,Black (NH),4381.274419548163,1580.015245744824
NM,Male,Hispanic,39820.6278842372,9736.0344134136285
NM,Male,"Multiracial, other, or missing",11282.67790047612,5206.454980769979
NV,Male,White (NH),47674.8068537717,21238.283373885162
NV,Male,Black (NH),34384.85734456386,22068.537317150316
NV,Male,Hispanic,17003.805493064672,10418.016008088429
NV,Male,"Multiracial, other, or missing",15654.561558599771,10309.68630605483
NY,Male,White (NH),54521.26052015225,7415.197454975964
NY,Male,Black (NH),59273.16412558779,22849.726940831857
NY,Male,Hispanic,19711.24754989095,13742.545854485403
NY,Male,"Multiracial, other, or missing",4059.090779371671,2178.096525276345
OH,Male,White (NH),181140.38364895797,20855.901114506443
OH,Male,Black (NH),99763.18420629109,29843.512682211032
OH,Male,Hispanic,8083.53647424866,2237.8652110007993
OH,Male,"Multiracial, other, or missing",5782.116753006531,2936.421889306123
OK,Male,White (NH),81820.78199958471,14025.89981720271
OK,Male,Black (NH),29327.789411678517,11309.45414554698
OK,Male,Hispanic,11934.604451538753,3744.8843993677465
OK,Male,"Multiracial, other, or missing",28652.885698941493,5180.168363126327
OR,Male,White (NH),95096.01929795824,20332.730045745127
OR,Male,Black (NH),12128.703017474612,6900.254187360794
OR,Male,Hispanic,13590.490083343795,4577.212045343394
OR,Male,"Multiracial, other, or missing",17725.78760122335,9912.199106665623
PA,Male,White (NH),85534.08012797884,9034.469363998898
PA,Male,Black (NH),54192.76139229922,15569.162502197274
PA,Male,Hispanic,16750.265230178953,5166.300600731363
PA,Male,"Multiracial, other, or missing",3467.8932495429867,895.5947383042778
SC,Male,White (NH),65781.21460371192,12364.79684972203
SC,Male,Black (NH),68860.10184371192,14721.305012395496
SC,Male,Hispanic,4103.6374749277475,1053.6025054066192
SC,Male,"Multiracial, other, or missing",3725.4471512672417,3132.332299441948
SD,Male,White (NH),23250.09039236504,7234.9194430271755
SD,Male,Black (NH),3897.8029827473174,2132.622515557004
SD,Male,Hispanic,1903.9591950262159,559.3699009078648
SD,Male,"Multiracial, other, or missing",19559.858429861426,7158.652903934364
TN,Male,White (NH),186380.94212002083,17361.465797846082
