"Gender","Age.Group","Race","p","se","health_outcome"
"Women","50-64","Hispanic",0.0255005834157538,0.0181258942149222,"SPD_month"
"Men","65 and over","Hispanic",0,0,"SPD_month"
"Women","65 and over","Hispanic",0.0485452329940368,0.0378778484927416,"SPD_month"
"Men","Under 18","NH White",0,0,"SPD_month"
"Women","Under 18","NH White",0,0,"SPD_month"
"Men","19-34","NH White",0.158018201345752,0.0189875082767201,"SPD_month"
"Women","19-34","NH White",0.229080675797726,0.018576730318696,"SPD_month"
"Men","35-49","NH White",0.152637258897188,0.0363291976102473,"SPD_month"
"Women","35-49","NH White",0.194072075547893,0.0242549186590165,"SPD_month"
"Men","50-64","NH White",0.0549963162003569,0.0240583479224974,"SPD_month"
"Women","50-64","NH White",0.120043391361251,0.0285032679656387,"SPD_month"
"Men","65 and over","NH White",0.0400393078836556,0.0316494449863035,"SPD_month"
"Women","65 and over","NH White",0.0411236074821126,0.0338531908676646,"SPD_month"
"Men","Under 18","Other",0,0,"SPD_month"
"Women","Under 18","Other",0,0,"SPD_month"
"Men","19-34","Other",0.0902763640858181,0.0298372199194665,"SPD_month"
"Women","19-34","Other",0.210538812760956,0.0391540927495259,"SPD_month"
"Men","35-49","Other",0.0626467468749067,0.0304233934457856,"SPD_month"
"Women","35-49","Other",0.0689514331797553,0.0230500092528685,"SPD_month"
"Men","50-64","Other",0.0717701607184138,0.0500605038444067,"SPD_month"
"Women","50-64","Other",0.107062231488453,0.0608729648000424,"SPD_month"
"Men","65 and over","Other",0,0,"SPD_month"
"Women","65 and over","Other",0.185268311686831,0.124167731554565,"SPD_month"
"Men","Under 18","NH Black",0,0,"MPD_month"
"Women","Under 18","NH Black",0,0,"MPD_month"
"Men","19-34","NH Black",0.346188505554528,0.0408231654352801,"MPD_month"
"Women","19-34","NH Black",0.309282195693898,0.0290528255754329,"MPD_month"
"Men","35-49","NH Black",0.180755895458745,0.0436946691923565,"MPD_month"
"Women","35-49","NH Black",0.221098660944288,0.0386399221347992,"MPD_month"
"Men","50-64","NH Black",0.342644919141722,0.0811980489466182,"MPD_month"
"Women","50-64","NH Black",0.419061863022205,0.0678990209618598,"MPD_month"
"Men","65 and over","NH Black",0.122193762866648,0.0579822399240745,"MPD_month"
"Women","65 and over","NH Black",0.36332161377193,0.096193758671547,"MPD_month"
"Men","Under 18","Hispanic",0,0,"MPD_month"
"Women","Under 18","Hispanic",0,0,"MPD_month"
"Men","19-34","Hispanic",0.333580956849025,0.0367709694444778,"MPD_month"
"Women","19-34","Hispanic",0.309929881808911,0.0278238452600356,"MPD_month"
"Men","35-49","Hispanic",0.241615386591038,0.0613713833298339,"MPD_month"
"Women","35-49","Hispanic",0.164689189454098,0.0342159440816162,"MPD_month"
"Men","50-64","Hispanic",0.170641309427632,0.0688159298154083,"MPD_month"
"Women","50-64","Hispanic",0.261457099980036,0.0714612293299989,"MPD_month"
"Men","65 and over","Hispanic",0.178557718710375,0.0853239287784994,"MPD_month"
"Women","65 and over","Hispanic",0.214332318142679,0.0836120667748,"MPD_month"
"Men","Under 18","NH White",0,0,"MPD_month"
"Women","Under 18","NH White",0,0,"MPD_month"
"Men","19-34","NH White",0.336781496377251,0.0264905343911203,"MPD_month"
"Women","19-34","NH White",0.397612025053014,0.0216692389912982,"MPD_month"
"Men","35-49","NH White",0.311478372724054,0.038212970600782,"MPD_month"
"Women","35-49","NH White",0.349938102919021,0.0282337178452562,"MPD_month"
"Men","50-64","NH White",0.361372111585617,0.0578171274410979,"MPD_month"
"Women","50-64","NH White",0.387263328134189,0.0455030247702961,"MPD_month"
