Age.Group,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
35-44,247,4.56028451363442e-5,0.012583199505021514,0.002179911473891714,hbv,0.0021398308385112354,0.002179911473891717,0.014800864700408253,3.175939425520201e-4,0.9837581464722646
45-54,215,0.007161614098243263,0.045853130102940565,0.02061603825486558,hbv,0.008310866369642077,0.020616038254865545,0.04504038137473746,0.009307356171539497,0.4116120687954333
55-64,293,0.005526460775884236,0.07153961157712108,0.02554738955215964,hbv,0.013616331635281094,0.025547389552159672,0.07113886016759112,0.008894781177461068,0.5469565994331894
65 and over,287,0.004342559754687864,0.0407100492504513,0.01602593647475042,hbv,0.007621536352379784,0.01602593647475043,0.04030655480444172,0.006276276092994625,0.48332076860898054
Under 18,1456,NA,NA,0,hcv,0,1.157312308534705e-9,1.2847648745341099e-9,1.042503423013246e-9,0.053304746497296086
18-24,256,NA,NA,0,hcv,0,8.543675521209537e-10,1.0320960628540318e-9,7.072441610486462e-10,0.09642296360571216
25-34,285,0.002757468023372553,0.09438370620077163,0.02586829125720516,hcv,0.017887388272949018,0.025868291257205207,0.09645368728874378,0.006562544137107329,0.7098417052061315
35-44,247,0.0031955214434100966,0.044972755377871154,0.015565961552295827,hcv,0.008541329920062355,0.0155659615522958,0.045023310678073594,0.005275176117054704,0.5573948120800252
45-54,215,0.012923178423157168,0.13067363651375696,0.05104988650464153,hcv,0.024859901499907515,0.05104988650464155,0.12822350160733093,0.01929647835993948,0.5131699776173995
55-64,293,0.047166995365321616,0.3340097869111276,0.15271239115100296,hcv,0.06356468548518948,0.15271239115100294,0.32068331462149147,0.06438433952331525,0.4912592829775692
65 and over,287,0.011816405679197317,0.05522693692581715,0.02794286406194993,hcv,0.009534689049952054,0.02794286406194997,0.05410283751599553,0.014241400645067476,0.3510296680753244
Under 18,2596,NA,NA,0,dep,0,3.247921670929107e-9,3.5552306988223803e-9,2.9671759933061195e-9,0.04612566885831003
18-24,256,0.2122679663337925,0.3586855112670647,0.28122149964807397,dep,0.03417565294407236,0.281221499648074,0.35273598094806896,0.21929374540169255,0.16907259662284463
25-34,285,0.24057123014525714,0.36559388111442315,0.3003469804111177,dep,0.029403842012217535,0.30034698041111807,0.36091467513984293,0.24603060549122133,0.13992589638395836
35-44,247,0.22568388668226602,0.38792451901772784,0.30228158396268495,dep,0.038016754385510464,0.30228158396268495,0.3815046343020673,0.2333042680320119,0.18025327392819715
45-54,215,0.34948611606294305,0.6072505996563358,0.4772591061230815,dep,0.060099289272787355,0.4772591061230819,0.5941432225056004,0.362813647684571,0.24089547178197337
55-64,293,0.3034219907242172,0.6079719896879217,0.45244147420854225,dep,0.07087172223462429,0.4524414742085422,0.5914314130329734,0.320492848549203,0.28607508273253474
65 and over,287,0.21136508221233985,0.38753985547027026,0.29381332738010313,dep,0.041131389629408065,0.2938133273801031,0.3802706293053917,0.22003365302947347,0.19823593054730507
