Gender,Race,Age,pPopulation,Month,ReincarcRate
Female,White,25-39,0.033221658377548834,8,1.545492915022743
Female,White,40-54,0.01917311562577993,8,1.2511272959128084
Female,White,55-64,0.0016536416776967897,8,0.7961862399650617
Female,White,65 or older,5.512138925655966e-4,8,0.4244210193321897
Male,Black,24 or younger,0.05582261454281714,8,2.696534165553645
Male,Black,25-39,0.1375583598940358,8,2.2853969575719115
Male,Black,40-54,0.08729252551313386,8,1.8503001014146616
Male,Black,55-64,0.014220172252793128,8,1.1775661207235708
Male,Black,65 or older,0.004740057417597709,8,0.6273053786334116
Male,Hispanic,24 or younger,0.03342290771111982,8,2.454101835878894
Male,Hispanic,25-39,0.09002947168093134,8,2.0787662418970694
Male,Hispanic,40-54,0.04318383507533963,8,1.6836741985412453
Male,Hispanic,55-64,0.005667176416127085,8,1.0719897542919925
Male,Hispanic,65 or older,0.0018890588053756953,8,0.5694875833686388
Male,Other or Unknown,24 or younger,0.01620263741779368,8,2.156240849619526
Male,Other or Unknown,25-39,0.0439632632621121,8,1.8295846813199785
Male,Other or Unknown,40-54,0.025923011193533557,8,1.480173270177533
Male,Other or Unknown,55-64,0.003937600163757533,8,0.9410910807781787
Male,Other or Unknown,65 or older,0.001312533387919178,8,0.5040728286882666
Male,White,24 or younger,0.04481268946494619,8,2.603661435553803
Male,White,25-39,0.1510028625571967,8,2.20589437527662
Male,White,40-54,0.10091908590102662,8,1.7863609891311634
Male,White,55-64,0.01716899359435498,8,1.137188341300299
Male,White,65 or older,0.005722997864784993,8,0.6048041474353671
Female,Black,24 or younger,0.003520686690908717,9,1.7890745211123031
Female,Black,25-39,0.013238326824741532,9,1.5169906622616842
Female,Black,40-54,0.009298649334112076,9,1.2277652138591302
Female,Black,55-64,9.2593552604127e-4,9,0.7811100341127512
Female,Black,65 or older,3.0864517534708995e-4,9,0.41705113736075095
Female,Hispanic,24 or younger,0.0021280382118107426,9,1.6269776116757118
Female,Hispanic,25-39,0.008429528267592865,9,1.378795712063706
Female,Hispanic,40-54,0.004107576089012204,9,1.1163528263399627
Female,Hispanic,55-64,2.817195878396454e-4,9,0.7105297734766592
Female,Hispanic,65 or older,9.39065292798818e-5,9,0.3783403490377808
Female,Other or Unknown,24 or younger,0.0014112463357541167,9,1.432705189478806
Female,Other or Unknown,25-39,0.005717895036305107,9,1.2161725476589609
Female,Other or Unknown,40-54,0.0031900660284027637,9,0.9835891877574247
Female,Other or Unknown,55-64,2.8122211985828077e-4,9,0.6251732594301527
Female,Other or Unknown,65 or older,9.374070661942692e-5,9,0.3355729666456655
Female,White,24 or younger,0.007581333846086383,9,1.7266401814115926
Female,White,25-39,0.033221658377548834,9,1.4635419250772492
Female,White,40-54,0.01917311562577993,9,1.1847852768383471
Female,White,55-64,0.0016536416776967897,9,0.7539678319012777
Female,White,65 or older,5.512138925655966e-4,9,0.4019157575158088
Male,Black,24 or younger,0.05582261454281714,9,2.553548298623472
Male,Black,25-39,0.1375583598940358,9,2.1642119678052767
Male,Black,40-54,0.08729252551313386,9,1.7521864681956134
Male,Black,55-64,0.014220172252793128,9,1.115124741418929
Male,Black,65 or older,0.004740057417597709,9,0.594042012442966
Male,Hispanic,24 or younger,0.03342290771111982,9,2.323971135878649
Male,Hispanic,25-39,0.09002947168093134,9,1.9685380100282537
Male,Hispanic,40-54,0.04318383507533963,9,1.594396036231384
Male,Hispanic,55-64,0.005667176416127085,9,1.0151466457136769
Male,Hispanic,65 or older,0.0018890588053756953,9,0.5392900517170361
Male,Other or Unknown,24 or younger,0.01620263741779368,9,2.0419044651110063
Male,Other or Unknown,25-39,0.0439632632621121,9,1.7325694997129657
Male,Other or Unknown,40-54,0.025923011193533557,9,1.401685906306232
Male,Other or Unknown,55-64,0.003937600163757533,9,0.8911889783816035
Male,Other or Unknown,65 or older,0.001312533387919178,9,0.4773439663854454
Male,White,24 or younger,0.04481268946494619,9,2.4656002189332145
Male,White,25-39,0.1510028625571967,9,2.088925073112944
Male,White,40-54,0.10091908590102662,9,1.6916377781501826
Male,White,55-64,0.01716899359435498,9,1.076888025835791
Male,White,65 or older,0.005722997864784993,9,0.5727339269098078
