Gender,Race,Age,Month,p.recidivism,recidivism_type
Female,Black,65 or older,9,0.007698665094387726,rearrested
Female,Hispanic,24 or younger,9,0.02438446258949456,rearrested
Female,Hispanic,25-39,9,0.02140155715453375,rearrested
Female,Hispanic,40-54,9,0.018078012794078016,rearrested
Female,Hispanic,55-64,9,0.01299666555665716,rearrested
Female,Hispanic,65 or older,9,0.007254607292055946,rearrested
Female,Other or Unknown,24 or younger,9,0.02405878402418419,rearrested
Female,Other or Unknown,25-39,9,0.021158597903726328,rearrested
Female,Other or Unknown,40-54,9,0.017883790535237164,rearrested
Female,Other or Unknown,55-64,9,0.012861964096647778,rearrested
Female,Other or Unknown,65 or older,9,0.00716440059526699,rearrested
Female,White,24 or younger,9,0.024032928034219275,rearrested
Female,White,25-39,9,0.02113975267787263,rearrested
Female,White,40-54,9,0.017868639557012615,rearrested
Female,White,55-64,9,0.01285117402615318,rearrested
Female,White,65 or older,9,0.007160205532118948,rearrested
Male,Black,24 or younger,9,0.03086186221464628,rearrested
Male,Black,25-39,9,0.027093936222524154,rearrested
Male,Black,40-54,9,0.022888406228700985,rearrested
Male,Black,55-64,9,0.016456254719055236,rearrested
Male,Black,65 or older,9,0.009179043392445607,rearrested
Male,Hispanic,24 or younger,9,0.02916766306524959,rearrested
Male,Hispanic,25-39,9,0.02555397654007436,rearrested
Male,Hispanic,40-54,9,0.02157405213189106,rearrested
Male,Hispanic,55-64,9,0.015505029999717179,rearrested
Male,Hispanic,65 or older,9,0.008666520747882938,rearrested
Male,Other or Unknown,24 or younger,9,0.02872207941338933,rearrested
Male,Other or Unknown,25-39,9,0.025216282946784654,rearrested
Male,Other or Unknown,40-54,9,0.02130251118025093,rearrested
Male,Other or Unknown,55-64,9,0.015316009921987386,rearrested
Male,Other or Unknown,65 or older,9,0.008541944701070267,rearrested
Male,White,24 or younger,9,0.028684656689993454,rearrested
Male,White,25-39,9,0.025187870819365688,rearrested
Male,White,40-54,9,0.021279382996402592,rearrested
Male,White,55-64,9,0.015299458022864332,rearrested
Male,White,65 or older,9,0.008534968009308619,rearrested
Female,Black,24 or younger,10,0.024590645646866003,rearrested
Female,Black,25-39,10,0.021625681370163793,rearrested
Female,Black,40-54,10,0.018278340514994697,rearrested
Female,Black,55-64,10,0.013145760106491718,rearrested
Female,Black,65 or older,10,0.007323367927787417,rearrested
Female,Hispanic,24 or younger,10,0.023195760443510856,rearrested
Female,Hispanic,25-39,10,0.020358266705805653,rearrested
Female,Hispanic,40-54,10,0.017196739625781925,rearrested
Female,Hispanic,55-64,10,0.012363099646351359,rearrested
Female,Hispanic,65 or older,10,0.0069009572075118975,rearrested
Female,Other or Unknown,24 or younger,10,0.022885958168607314,rearrested
Female,Other or Unknown,25-39,10,0.02012715131588963,rearrested
Female,Other or Unknown,40-54,10,0.01701198538023169,rearrested
Female,Other or Unknown,55-64,10,0.01223496465931601,rearrested
Female,Other or Unknown,65 or older,10,0.006815147937718168,rearrested
Female,White,24 or younger,10,0.022861362615309605,rearrested
Female,White,25-39,10,0.020109224763569605,rearrested
Female,White,40-54,10,0.016997572987090294,rearrested
Female,White,55-64,10,0.012224700586878792,rearrested
Female,White,65 or older,10,0.00681115737694734,rearrested
Male,Black,24 or younger,10,0.029357397570040637,rearrested
Male,Black,25-39,10,0.025773151726550245,rearrested
Male,Black,40-54,10,0.021772634351328327,rearrested
Male,Black,55-64,10,0.015654039569650096,rearrested
Male,Black,65 or older,10,0.008731580236813936,rearrested
Male,Hispanic,24 or younger,10,0.02774578782187518,rearrested
Male,Hispanic,25-39,10,0.02430826252689408,rearrested
Male,Hispanic,40-54,10,0.02052235283884239,rearrested
Male,Hispanic,55-64,10,0.014749185479192621,rearrested
Male,Hispanic,65 or older,10,0.00824404222191948,rearrested
Male,Other or Unknown,24 or younger,10,0.027321925634707346,rearrested
Male,Other or Unknown,25-39,10,0.023987030936716197,rearrested
Male,Other or Unknown,40-54,10,0.020264049058649133,rearrested
Male,Other or Unknown,55-64,10,0.014569379817044339,rearrested
Male,Other or Unknown,65 or older,10,0.008125539050965396,rearrested
Male,White,24 or younger,10,0.027286327207067255,rearrested
Male,White,25-39,10,0.02396000385342978,rearrested
Male,White,40-54,10,0.02024204833543981,rearrested
Male,White,55-64,10,0.014553634795576902,rearrested
Male,White,65 or older,10,0.008118902461366692,rearrested
Female,Black,24 or younger,11,0.02339189241848245,rearrested
Female,Black,25-39,11,0.020571465237299393,rearrested
Female,Black,40-54,11,0.017387301702248587,rearrested
Female,Black,55-64,11,0.012504926083932371,rearrested
Female,Black,65 or older,11,0.0069663658761883965,rearrested
Female,Hispanic,24 or younger,11,0.022065005557454668,rearrested
Female,Hispanic,25-39,11,0.01936583493771224,rearrested
Female,Hispanic,40-54,11,0.01635842706416341,rearrested
Female,Hispanic,55-64,11,0.011760419024349066,rearrested
Female,Hispanic,65 or older,11,0.006564546978588285,rearrested
Female,Other or Unknown,24 or younger,11,0.021770305630107768,rearrested
Female,Other or Unknown,25-39,11,0.019145986040094525,rearrested
Female,Other or Unknown,40-54,11,0.016182679281944452,rearrested
Female,Other or Unknown,55-64,11,0.011638530405610968,rearrested
Female,Other or Unknown,65 or older,11,0.0064829207685103375,rearrested
Female,White,24 or younger,11,0.02174690906927829,rearrested
Female,White,25-39,11,0.01912893337749566,rearrested
Female,White,40-54,11,0.016168969469087243,rearrested
Female,White,55-64,11,0.011628766689697409,rearrested
Female,White,65 or older,11,0.006479124740964694,rearrested
Male,Black,24 or younger,11,0.027926273083949286,rearrested
Male,Black,25-39,11,0.024516753286204347,rearrested
Male,Black,40-54,11,0.02071125450413445,rearrested
Male,Black,55-64,11,0.014890931079501386,rearrested
Male,Black,65 or older,11,0.008305930168569196,rearrested
Male,Hispanic,24 or younger,11,0.026393226640556343,rearrested
Male,Hispanic,25-39,11,0.023123275007698018,rearrested
Male,Hispanic,40-54,11,0.019521922143655498,rearrested
Male,Hispanic,55-64,11,0.014030187126603075,rearrested
Male,Hispanic,65 or older,11,0.007842158824046363,rearrested
Male,Other or Unknown,24 or younger,11,0.025990027032669828,rearrested
Male,Other or Unknown,25-39,11,0.02281770292525793,rearrested
Male,Other or Unknown,40-54,11,0.019276210244735182,rearrested
Male,Other or Unknown,55-64,11,0.013859146692545067,rearrested
Male,Other or Unknown,65 or older,11,0.007729432486315567,rearrested
Male,White,24 or younger,11,0.025956163969390312,rearrested
Male,White,25-39,11,0.02279199336749763,rearrested
Male,White,40-54,11,0.019255282020326937,rearrested
Male,White,55-64,11,0.013844169214784539,rearrested
Male,White,65 or older,11,0.007723119419462916,rearrested
Female,Black,24 or younger,12,0.02225157642363869,rearrested
Female,Black,25-39,12,0.019568640394067374,rearrested
Female,Black,40-54,12,0.01653969955516525,rearrested
Female,Black,55-64,12,0.011895331658105572,rearrested
Female,Black,65 or older,12,0.006626767083049505,rearrested
Female,Hispanic,24 or younger,12,0.02098937309842362,rearrested
Female,Hispanic,25-39,12,0.018421782573845816,rearrested
Female,Hispanic,40-54,12,0.015560980850833022,rearrested
Female,Hispanic,55-64,12,0.011187118084022658,rearrested
Female,Hispanic,65 or older,12,0.006244536190890196,rearrested
Female,Other or Unknown,24 or younger,12,0.020709039304214687,rearrested
Female,Other or Unknown,25-39,12,0.01821265094569554,rearrested
Female,Other or Unknown,40-54,12,0.015393800481781725,rearrested
Female,Other or Unknown,55-64,12,0.011071171333477604,rearrested
Female,Other or Unknown,65 or older,12,0.00616688912329825,rearrested
Female,White,24 or younger,12,0.020686783286957347,rearrested
Female,White,25-39,12,0.01819642957214197,rearrested
Female,White,40-54,12,0.015380758999584035,rearrested
Female,White,55-64,12,0.011061883582536276,rearrested
Female,White,65 or older,12,0.00616327814580541,rearrested
Male,Black,24 or younger,12,0.026564913545169905,rearrested
Male,Black,25-39,12,0.023321602187962805,rearrested
Male,Black,40-54,12,0.01970161516577618,rearrested
Male,Black,55-64,12,0.01416502286377041,rearrested
Male,Black,65 or older,12,0.007901029835845742,rearrested
Male,Hispanic,24 or younger,12,0.025106600575621862,rearrested
Male,Hispanic,25-39,12,0.02199605366652875,rearrested
Male,Hispanic,40-54,12,0.01857026078713712,rearrested
Male,Hispanic,55-64,12,0.013346238752316116,rearrested
Male,Hispanic,65 or older,12,0.007459866575895482,rearrested
Male,Other or Unknown,24 or younger,12,0.02472305628051476,rearrested
Male,Other or Unknown,25-39,12,0.021705377716772178,rearrested
Male,Other or Unknown,40-54,12,0.018336526936142544,rearrested
Male,Other or Unknown,55-64,12,0.013183536256003037,rearrested
Male,Other or Unknown,65 or older,12,0.007352635460340598,rearrested
Male,White,24 or younger,12,0.024690843985458746,rearrested
Male,White,25-39,12,0.02168092145735174,rearrested
Male,White,40-54,12,0.01831661892799596,rearrested
Male,White,55-64,12,0.01316928890546553,rearrested
Male,White,65 or older,12,0.00734663014503621,rearrested
Female,Black,24 or younger,13,0.02116684894403062,rearrested
Female,Black,25-39,13,0.018614701600253938,rearrested
Female,Black,40-54,13,0.01573341660826852,rearrested
Female,Black,55-64,13,0.011315453950434875,rearrested
Female,Black,65 or older,13,0.0063037231683581545,rearrested
Female,Hispanic,24 or younger,13,0.019966175939438537,rearrested
Female,Hispanic,25-39,13,0.017523751198415382,rearrested
Female,Hispanic,40-54,13,0.014802408819027587,rearrested
Female,Hispanic,55-64,13,0.01064176461457281,rearrested
Female,Hispanic,65 or older,13,0.005940125398831894,rearrested
