Gender,Age.Group,Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Women,35-44,NH White,46,7.596712294092549e-4,0.16501543224405557,0.031513565133342455,cvd,0.022669383087257942,0.052883842336075425,0.10300094826692241,0.026433572520920826,0.3678676166245385
Men,45-54,NH White,23,1.3027167045908366e-10,0.998561305291391,0.2233080910087224,cvd,0.07868100958050026,0.13661259137697354,0.2524084766192849,0.0690341853162082,0.38669402230416655
Women,45-54,NH White,35,0.014783916928910217,0.29987324850677743,0.09992559214228144,cvd,0.056701892477701625,0.135285761385975,0.2568054179492681,0.06615065252063197,0.40427812878947544
Men,55-64,NH White,33,0.031702775759306426,0.4153738663173351,0.1615136601113652,cvd,0.05681611782064551,0.1967412737588573,0.29782611079335336,0.12391108108784671,0.28016639496203843
Women,55-64,NH White,31,0.030673084351915087,0.47347247050970587,0.1797334064537231,cvd,0.07616094451015794,0.16205011816155065,0.2831247963225599,0.0865037685025919,0.3643121218248813
Men,65 and over,NH White,35,0.08828352483483003,0.6139855439996657,0.30498933497945246,cvd,0.09412067465760238,0.3059454884570271,0.4178766237574397,0.21302433149754815,0.2488042550373796
Women,65 and over,NH White,30,0.10768721686996906,0.5979250033943173,0.3155655640104976,cvd,0.07677795257250294,0.2885506911626886,0.3851286240386019,0.20799872498742994,0.22173757387108364
Men,18-24,Other,13,NA,NA,0,cvd,0,0.008109260210669525,0.05649928514560774,0.0011149351345323794,1.0159560044616511
Women,18-24,Other,9,NA,NA,0,cvd,0,4.454369736443048e-9,9.416531699759521e-9,2.1070825575369353e-9,0.38193623418916994
Men,25-34,Other,19,NA,NA,0,cvd,0,0.015490788061413931,0.09393335355656693,0.0023823846447294135,0.9619413432112904
Women,25-34,Other,27,NA,NA,0,cvd,0,0.01362619206750047,0.05663363470336718,0.003168790510299718,0.7496004650236218
Men,35-44,Other,22,NA,NA,0,cvd,0,0.07536829781776494,0.15127740630503772,0.03593661260823961,0.39918675159039774
Women,35-44,Other,18,3.6532032061115605e-38,0.9999995525157651,0.14500394513484885,cvd,0.1074074363952728,0.02765717952275301,0.08271535143675941,0.008892334578145665,0.5886896247778629
Men,45-54,Other,19,1.7045496869134206e-9,0.25543160800938935,0.015289840372027198,cvd,0.015950498934276133,0.07459116352301816,0.19213488029736983,0.026591048253936458,0.5520591696754051
Women,45-54,Other,18,8.417420852967276e-10,0.5511185458789363,0.03774047849972447,cvd,0.04091586903494995,0.07381520775255104,0.19283889462763362,0.025898011788260376,0.5601331553891576
Men,55-64,Other,16,6.757060997391093e-25,0.9999998970390738,0.22425778467333943,cvd,0.12833412672108432,0.1109290213302466,0.2693793708103059,0.040512085425891756,0.5528228422291425
Women,55-64,Other,26,0.0034766735216880443,0.4272474559419419,0.10128757944314444,cvd,0.06773602290555004,0.08967972058704911,0.211118873176426,0.034995632197521005,0.5098856643240074
Men,65 and over,Other,20,0.008963906476014753,0.6028755060439246,0.17602530896267918,cvd,0.06874773622917899,0.18337559889607488,0.33315878018743383,0.09167498234669984,0.40802279586009393
Women,65 and over,Other,22,0.010806790222045805,0.751642374889949,0.2434779822148511,cvd,0.09306555297745965,0.17123034087588226,0.2922176061578185,0.09370381722647916,0.3532180455970904
Men,18-24,NH Black,18,NA,NA,0,str,0,7.297892489148192e-9,1.1755785102115244e-8,4.530470251922977e-9,0.24324929968359496
Women,18-24,NH Black,35,9.078390409893469e-5,0.12458211872871439,0.01768160341241544,str,0.01815368101573309,0.005006989744819534,0.034326729430683066,7.118719087407597e-4,0.9974671111888185
Men,25-34,NH Black,24,NA,NA,0,str,0,8.666828879972183e-9,1.2919282274087967e-8,5.814094090988053e-9,0.20368638738955747
Women,25-34,NH Black,90,0.0010514136886239918,0.061699744616278474,0.014734562929864315,str,0.010514157535128112,0.004270800644347153,0.01823179862621043,9.896589202448153e-4,0.7477106944731554
Men,35-44,NH Black,26,1.608027486478091e-5,0.48645019478055485,0.05997863130962679,str,0.05799876684829616,0.01903988225132233,0.09454208084798595,0.003595048933935267,0.858485259868634
Women,35-44,NH Black,52,0.0024185585963683773,0.10660545359268891,0.027572991305790974,str,0.019046569849111083,0.037078973270706035,0.09425287528779965,0.014048883104755707,0.5072248957590448
Men,45-54,NH Black,31,0.0059584613966682685,0.2986361313794017,0.08001975515500247,str,0.045833033160056894,0.07653345741576606,0.1697340945911408,0.03250550763519046,0.4606684743674988
Women,45-54,NH Black,45,0.034652137247246424,0.2887269342588584,0.12406510613390163,str,0.049653716201632135,0.15374879418380205,0.2685002056072224,0.08250811291035481,0.35880808578343515
Men,55-64,NH Black,54,0.019335534806991454,0.13285706171169964,0.05905352509020386,str,0.02181937308036953,0.0884213686669818,0.17947891856420692,0.041239430399973735,0.4148965732761612
Women,55-64,NH Black,57,0.14580528207656784,0.36104433597127095,0.24162269025354954,str,0.0426048838948127,0.19130847813118107,0.34705171039473287,0.09526009277175551,0.41302095435548514
Men,65 and over,NH Black,42,0.04686962838549477,0.4946814175049272,0.20962327558969088,str,0.06736327201179458,0.17363283180364206,0.27354932550872885,0.10493981841132162,0.29766243364207506
Women,65 and over,NH Black,57,0.04794607754808415,0.3234074747831237,0.14988055557545327,str,0.046197803611490965,0.20206480338321312,0.29189531024012966,0.1346236809240395,0.2485975240974083
