state,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
ID,30,-1.2709737938348733,0.235666738092022,0.28055828278596734,0.17677595965089382,0.4452695388855882,12750,0.32988235294117646
ID,60,-1.6672475370404114,0.298951676451835,0.18876592245367704,0.1050643713698938,0.3391499231869781,12750,0.22023529411764706
ID,90,-2.0337065798451004,0.3332776069795185,0.130849616631113,0.06809042441368797,0.2514541849304047,12750,0.15011764705882352
IL,30,-1.7367657001636898,0.09960633654987774,0.17608900524323975,0.14485956365068983,0.21405102283977548,29988,0.17330265439509138
IL,60,-2.3572149445427804,0.1264574366519176,0.09468355528120516,0.0738981883688929,0.12131522894629983,29988,0.1018407362945178
IL,90,-2.790656884193313,0.1418026394085756,0.06138088053907413,0.0464868895945012,0.08104677530840328,29988,0.06592637054821929
IN,30,-1.5141784605953712,0.07368730191177258,0.21998884013063008,0.19040480540715982,0.25416947686027314,105489,0.19823867891438918
IN,60,-2.0438806720179477,0.09353931375251326,0.12952508992449,0.10782838342224442,0.15558750291424905,105489,0.11538643839642047
IN,90,-2.4610812467511987,0.10443455110413101,0.08534262462692165,0.06954583790171635,0.10472752644816295,105489,0.07406459441268758
KS,30,-1.761863287846186,0.08748265590510401,0.17172459319013994,0.14466621687811923,0.20384396953688036,33927,0.1734901405959855
KS,60,-2.4601938806950114,0.11187241834885832,0.08541838838528376,0.0686002025574485,0.10635975991804063,33927,0.08824829781589884
KS,90,-3.013413004352669,0.12695045650011802,0.049123732809461126,0.03830283644529622,0.06300162988142548,33927,0.052023462139299086
KY,30,-1.5581415328850885,0.050029916545125466,0.21052696529815168,0.1908631943608375,0.2322166055434276,121395,0.20729848840561801
KY,60,-2.1430203702211226,0.06523849363313051,0.11730001795881725,0.10322074092757103,0.1332997040080696,121395,0.1156884550434532
KY,90,-2.5617627518877373,0.07377494676972764,0.07716859139989851,0.0667795094325071,0.08917393298109051,121395,0.07599159767700482
LA,30,-1.1981986729730068,0.05266090547852145,0.30173725013437,0.2721472085711539,0.3345445598970649,117627,0.3001351730470045
LA,60,-1.5713713338052735,0.06767016799162064,0.20776007849639053,0.18195380807637462,0.23722641846939682,117627,0.204383347360725
LA,90,-1.8813121939306652,0.07532069593451678,0.15239000925764745,0.13147506761155134,0.17663208198651298,117627,0.14825677778061158
MA,30,-0.7942447958279638,0.4187236164589038,0.45192239976355986,0.1989049903757751,1.0267910072151145,208,0.4519230769230769
MA,60,-1.9364335206763892,0.5463755203842895,0.14421738197172998,0.04942445866386569,0.4208170170204778,208,0.14423076923076922
MA,90,-2.202005467072795,0.6102954979908188,0.11058116894730928,0.03343464426734986,0.36573426138392134,208,0.11057692307692307
MD,30,-1.1508676496873647,0.15686131633021547,0.31636215873524054,0.23262904393175882,0.4302343928687652,10509,0.31591968788657343
MD,60,-1.7176071757099833,0.19940822160961028,0.17949513478015108,0.12142723211124677,0.2653317781321681,10509,0.19155009991435912
MD,90,-2.1286406041467894,0.22312809974988232,0.11899895062976121,0.07684509446772539,0.18427656767253764,10509,0.1308402321819393
ME,30,-1.6246495324664074,0.28895400835192747,0.19698069844783492,0.11180611967871958,0.34704178691197407,5825,0.2001716738197425
ME,60,-2.1664574956230918,0.36682332997416717,0.11458280889193052,0.05583144649578451,0.23515815759056105,5825,0.11793991416309013
ME,90,-2.5579402955348223,0.40908637077726573,0.07746412945314876,0.03474447026062203,0.17270924860624887,5825,0.08
MI,30,-1.5546115638962665,0.12355322178598345,0.21127143215637947,0.16583342989494665,0.2691593490750553,47451,0.23938378537860108
MI,60,-2.066545546573803,0.15676778220917612,0.12662243838183604,0.09312573090769241,0.17216768926790224,47451,0.15171440011801648
MI,90,-2.5423799803150855,0.17486378678717887,0.07867892249628063,0.05584882989045642,0.11084158535313485,47451,0.10056690059218984
MN,30,-2.1345560202052747,0.06330638886022677,0.11829710024139516,0.10449309750290642,0.13392467311186226,86076,0.10703331939216507
MN,60,-3.0012845672353703,0.08304698938675836,0.04972315459065424,0.04225410900051102,0.05851246567324846,86076,0.047004972350016265
MN,90,-3.6229943075236593,0.09588027958607426,0.02670260086826381,0.02212789603669861,0.03222307678720386,86076,0.026430131511687344
MO,30,-1.6865447854486673,0.07508794593969209,0.18515818125083572,0.15981882402835204,0.2145151066687576,52069,0.18281511071846973
MO,60,-2.5263557852850376,0.0960856375135508,0.07994984445080136,0.0662261304426389,0.09651745594956176,52069,0.086097293975302
MO,90,-3.1202876488164106,0.10848473424036052,0.04414446848910847,0.03568896217416432,0.05460327169716925,52069,0.050874800745165066
MS,30,-1.7597306354182314,0.09294638632775247,0.17209121285795362,0.14343085521285218,0.20647848399824506,48145,0.17092117561532869
MS,60,-2.309222848455476,0.11798953766863847,0.09933842257751042,0.0788287033416528,0.1251843780484177,48145,0.09878492055249766
MS,90,-2.6878393102134406,0.13199279173079126,0.06802776759215888,0.05252109249683895,0.08811273611361589,48145,0.06515733721050992
MT,30,-1.6584288032142458,0.1446599770496642,0.19043796067305235,0.14342297489033282,0.25286476516779827,10111,0.19889229551973098
MT,60,-2.1879099150925514,0.19507756901193646,0.1121509087465375,0.07651603712129924,0.16438157026787495,10111,0.11749579665710612
MT,90,-2.6599215885723155,0.22091614451504285,0.06995370669962511,0.04536976906188959,0.10785862882268256,10111,0.07477005241815844
NC,30,-1.6551193907773563,0.06337642039639811,0.19106924243826132,0.16875034712014172,0.21634003146636263,158554,0.18244888176898721
NC,60,-2.4067012709908338,0.08077151129519024,0.09011206009533264,0.07691837194045394,0.10556884096443239,158554,0.08774928415555583
NC,90,-2.949068863779721,0.09060699314917504,0.05238846404108995,0.04386426466656028,0.06256918212234093,158554,0.05132005499703571
ND,30,-1.9682435866147359,0.2056745236943219,0.13970201534133328,0.09335384268260616,0.20906105768762845,14840,0.1495956873315364
ND,60,-2.760680792853067,0.2630501359465753,0.0632486944399555,0.03776964333281518,0.10591567712484105,14840,0.06185983827493261
ND,90,-3.3988324565272885,0.2948764926259858,0.03341225745920237,0.018745908532792836,0.059553205787124475,14840,0.03564690026954178
NE,30,-1.8397962349610675,0.1705567862559616,0.15884979084322343,0.11371256282529899,0.22190385498304754,8826,0.14967142533423974
NE,60,-2.5775220938457553,0.21833722549416903,0.07596199771291585,0.04951620980042207,0.11653204313888843,8826,0.0704736007251303
NE,90,-2.810058125976793,0.2673282239259615,0.060201493020086115,0.03564979733742381,0.10166172131483363,8826,0.043621119419895764
NH,30,-1.314216163686989,0.41042609755529025,0.26868484565968276,0.12019539927322602,0.6006182160355658,990,0.2686868686868687
NH,60,-2.1019497608742257,0.5229433597842054,0.12221790011235988,0.04385353656434847,0.3406159748588728,990,0.12222222222222222
NH,90,-2.946451017066131,0.5900892190739588,0.05252578867851014,0.016522955308597626,0.1669773006566142,990,0.052525252525252523
NJ,30,-1.7412290345496289,0.15585486692631664,0.17530481249023963,0.12916056475999554,0.23793467719302297,22068,0.1616820735907196
NJ,60,-2.233066057110373,0.19714573197445745,0.10719924673344522,0.07284185253680976,0.15776202965748137,22068,0.10331702011963023
NJ,90,-2.6110140000293356,0.21967106986027957,0.07346001752471373,0.0477602590746758,0.1129887961096216,22068,0.07214065615370673
NM,30,-1.770320348944546,0.15686728253250487,0.1702784315713638,0.1252085448479307,0.23157160953845882,49404,0.15506841551291392
NM,60,-2.260926210865844,0.19917176061016,0.10425387894750951,0.07055973038259912,0.15403787991630932,49404,0.09796777588859201
NM,90,-2.669870657170895,0.22280977772298002,0.06926118316739417,0.044754208369279645,0.10718794206267712,49404,0.06560197554853858
NV,30,-2.0923836535861677,0.156581607411129,0.12339265963663261,0.09078347850209938,0.16771497086719106,87459,0.14741764712608194
NV,60,-2.830190886101098,0.20003076260515554,0.05900159001096836,0.03986550056484166,0.08732331400580841,87459,0.07889411038315096
NV,90,-3.400503724666254,0.22552079694899343,0.03335646325438505,0.021439583603406268,0.05189716654125523,87459,0.04607873403537658
NY,30,-1.1114596807190957,0.0971434628746592,0.32907826113347166,0.2720260706539147,0.3980960416415548,39511,0.4350434056338741
NY,60,-1.5696951145654352,0.12329964463648245,0.20810862197326857,0.16343204901935307,0.2649981983306363,39511,0.21852142441345448
NY,90,-1.9004605241173884,0.13757272515252125,0.14949975512428468,0.11416641541768933,0.195768402646704,39511,0.15056566525777632
OH,30,-1.8908207861773287,0.06434313899620335,0.15094786205775368,0.13306320723788864,0.17123634348502853,78506,0.15922349884085293
OH,60,-2.78099325555776,0.08228295942595558,0.06197691787723073,0.05274612903327979,0.072823132615807,78506,0.07044047588719334
OH,90,-3.406076356506528,0.09418867171311987,0.033171096934004655,0.027579493795839058,0.03989636938046845,78506,0.0387358927980027
OK,30,-1.6575132424760843,0.12936342983333773,0.19061239803471475,0.14792337054903312,0.24562100058760467,23993,0.19647397157504273
OK,60,-2.2557955117772592,0.16426981936280646,0.1047901487723577,0.07594404639628309,0.14459297075682687,23993,0.11024048680865252
OK,90,-2.7098823592701597,0.1833622128870821,0.0665446346139509,0.04645525477081019,0.09532158240765154,23993,0.0693535614554245
OR,30,-1.864574798050407,0.0877138110271442,0.15496208605968112,0.13048582111130538,0.18402955900844223,86550,0.1417677642980936
OR,60,-2.7266732643457057,0.11179559185217175,0.06543661830143642,0.05256059428874043,0.08146694444140193,86550,0.06369728480647024
OR,90,-3.3359355036598943,0.12554756225676475,0.03558128421512392,0.027819885617105737,0.045508015518905605,86550,0.03492778740612363
PA,30,-1.283245042646603,0.18273530940902946,0.27713651988201893,0.1937087245950046,0.3964955673158013,19528,0.2944489963129865
PA,60,-1.822447950486723,0.2319239799136301,0.1616296049886743,0.10259043278851152,0.2546448874297016,19528,0.1829680458828349
PA,90,-2.183551305785984,0.25854599713004994,0.11264079758260617,0.06786111095317311,0.1869693717334049,19528,0.13001843506759525
SC,30,-1.9785427686336243,0.09367924458283215,0.1382705828020863,0.11507735620361186,0.16613828036334857,68255,0.15056772397626547
SC,60,-2.6122213487214334,0.12002289046705318,0.07337137918809096,0.057991322519742095,0.09283042789944926,68255,0.08438942202036481
SC,90,-3.052352772512463,0.13503987806700737,0.047247630591449256,0.036260507776084,0.06156390887549606,68255,0.054164530071057065
SD,30,-2.117673730832789,0.2370806288996995,0.12031117941721299,0.07559665635310263,0.19147381102612404,13612,0.1658830443726124
SD,60,-2.859873583778694,0.301597833758536,0.057276000423366044,0.03171408180491088,0.10344112261164187,13612,0.08404349103732
SD,90,-3.5359082390458876,0.3375170798176868,0.02913228589063228,0.015034171637710812,0.05645073780352018,13612,0.04716426682339112
TN,30,-1.5894243652381939,0.08743707750339538,0.20404303219755812,0.1719076460302155,0.24218561506598718,84488,0.2085148186724742
TN,60,-2.1170127165343255,0.11626727858151255,0.12039073311724267,0.09585751631070327,0.1512028391548132,84488,0.11988684783637914
TN,90,-2.4783498584583983,0.1334006002562826,0.08388152784533726,0.0645826015398578,0.10894746488844496,84488,0.08074519458384623
TX,30,-1.6545311048123506,0.04888444625251318,0.1911816788610741,0.17371437372489246,0.21040535419379264,239553,0.1878999636823584
TX,60,-2.219274053578093,0.06374627576206128,0.10868798184422519,0.095922523692484,0.12315227897091116,239553,0.10343431307476843
TX,90,-2.6666361095374773,0.072393159744555,0.06948557447003707,0.060293914824137256,0.08007848011717085,239553,0.06485412413954324
UT,30,-1.6507769987253575,0.16678630556561527,0.19190074404439816,0.1383910160625346,0.2661003337684373,38444,0.21051399438143795
UT,60,-2.218640427013526,0.2115776628771684,0.10875687125954783,0.07183919746563698,0.16464628591965555,38444,0.12855061908230153
