Age.Group,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
45-54,215,0.007161614098243269,0.045853130102940565,0.020616038254865597,hbv,0.008310866369642083,0.020616038254865597,0.0450403813747375,0.009307356171539537,0.4116120687954324
55-64,293,0.005526460775884238,0.07153961157712108,0.025547389552159634,hbv,0.013616331635281087,0.025547389552159627,0.07113886016759112,0.008894781177461036,0.5469565994331903
65 and over,287,0.004342559754687857,0.0407100492504513,0.016025936474750414,hbv,0.007621536352379783,0.016025936474750417,0.04030655480444172,0.006276276092994614,0.48332076860898116
18-24,256,NA,NA,0,hcv,0,2.6949393690339954e-9,3.2555500327791994e-9,2.2308667134408006e-9,0.09642296378318563
25-34,285,0.0027574680233725516,0.09438370620077163,0.025868291257205165,hcv,0.017887388272949018,0.02586829125720516,0.09645368728874391,0.006562544137107294,0.7098417052061335
35-44,247,0.0031955214434100983,0.044972755377871154,0.015565961552295825,hcv,0.008541329920062355,0.015565961552295825,0.04502331067807357,0.005275176117054726,0.5573948120800242
45-54,215,0.012923178423157173,0.13067363651375707,0.05104988650464157,hcv,0.02485990149990753,0.05104988650464158,0.12822350160733084,0.0192964783599395,0.5131699776173989
55-64,293,0.047166995365321575,0.3340097869111275,0.15271239115100294,hcv,0.06356468548518948,0.15271239115100294,0.3206833146214917,0.06438433952331518,0.4912592829775697
65 and over,287,0.011816405679197324,0.05522693692581715,0.027942864061949926,hcv,0.009534689049952052,0.02794286406194991,0.05410283751599553,0.014241400645067417,0.35102966807532543
18-24,256,0.21226796633379252,0.3586855112670647,0.28122149964807397,dep,0.03417565294407236,0.2812214996695484,0.352735980968699,0.2192937454225993,0.169072596614743
25-34,285,0.24057123014525733,0.36559388111442337,0.3003469804111179,dep,0.029403842012217542,0.30034698042783586,0.36091467515702425,0.24603060550691888,0.13992589638137312
35-44,247,0.2256838866822659,0.38792451901772773,0.3022815839626849,dep,0.038016754385510464,0.30228158396294175,0.3815046343023254,0.23330426803225182,0.18025327392813398
45-54,215,0.34948611606294333,0.607250599656336,0.47725910612308187,dep,0.0600992892727874,0.4772591061230819,0.5941432225056004,0.362813647684571,0.24089547178197337
55-64,293,0.3034219907242173,0.6079719896879218,0.4524414742085423,dep,0.07087172223462428,0.45244147420855585,0.591431413032986,0.3204928485492157,0.28607508273253307
65 and over,287,0.21136508221233966,0.38753985547027003,0.29381332738010296,dep,0.041131389629408065,0.2938133273801083,0.38027062930539646,0.22003365302947853,0.19823593054730268
