state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
NE,Unknown Gender,60,-2.725248623282614,0.22129844036720756,0.06552990843159512,0.04246879974764659,0.10111349801665166,4074,0.08051055473735887
NE,Unknown Gender,90,-2.916089791800014,0.2735898595031809,0.054144992100341474,0.031672196563904825,0.0925632096160683,4074,0.052037309769268535
NE,Trans,3,-0.8546146564232362,0.20805851183201873,0.4254471028074002,0.28297355065462004,0.6396542605076697,NA,NA
NE,Trans,7,-1.3503720076729444,0.26256638116368164,0.25914383921566303,0.15489734708984582,0.43354860922492683,NA,NA
NE,Trans,14,-1.6992511210204424,0.31544577359425735,0.18282038314286103,0.09851824925498362,0.33925991118657406,NA,NA
NE,Trans,30,-2.338474114552244,0.42841770640266635,0.09647473537003712,0.041662351927886615,0.22340012346947746,NA,NA
NE,Trans,60,-2.952190941370711,0.562999313396173,0.05222515825080516,0.01732422758136978,0.1574365807370668,NA,NA
NE,Trans,90,-2.7405425216255948,0.5916766477033459,0.06453532558437447,0.02023771286644695,0.20579441341843763,NA,NA
NH,Male,3,-0.4413878440731109,0.19739821032378266,0.6431432189093124,0.4367994005496559,0.9469637538616753,727,0.6671251719394773
NH,Male,7,-0.7371033131412676,0.2603223556879085,0.4784979687468626,0.2872720063740286,0.7970157238250596,727,0.5048143053645117
NH,Male,14,-1.0066879274714142,0.3353533670573717,0.3654272991646291,0.1893859184880434,0.7051058074478014,727,0.4140302613480055
NH,Male,30,-1.381476911147067,0.4317285500422479,0.25120726813529065,0.10778149234829404,0.5854909798434857,727,0.2998624484181568
NH,Male,60,-2.14642753556466,0.45925056103746764,0.11690103748502603,0.047522970513385,0.28756309669713154,727,0.14442916093535077
NH,Male,90,-2.941936432717254,0.5296798289233152,0.05276345686485889,0.01868396105507337,0.14900386337370755,727,0.06464924346629987
NH,Female,3,-0.5367865494465718,0.19741125938955367,0.584623897099848,0.397045058206742,0.8608219495386482,263,0.5665399239543726
