"","state","ageCat","sex","race","releases"
"204","CA","25-34","Female","Other or Unknown",0
"205","CA","25-34","Female","White",349
"206","CA","25-34","Male","Black",2673
"207","CA","25-34","Male","Hispanic",18541.3863609739
"208","CA","25-34","Male","Other or Unknown",77
"209","CA","25-34","Male","White",2617
"210","CA","35-44","Female","Black",129
"211","CA","35-44","Female","Hispanic",1773.51092948922
"212","CA","35-44","Female","Other or Unknown",0
"213","CA","35-44","Female","White",233
"214","CA","35-44","Male","Black",1709
"215","CA","35-44","Male","Hispanic",13049.7099765785
"216","CA","35-44","Male","Other or Unknown",59
"217","CA","35-44","Male","White",2167
"218","CA","45-54","Female","Black",114
"219","CA","45-54","Female","Hispanic",685.019228819206
"220","CA","45-54","Female","Other or Unknown",0
"221","CA","45-54","Female","White",152
"222","CA","45-54","Male","Black",1444
"223","CA","45-54","Male","Hispanic",5244.41451177128
"224","CA","45-54","Male","Other or Unknown",30
"225","CA","45-54","Male","White",1783
"226","CA","55+","Female","Black",49
"227","CA","55+","Female","Hispanic",29
"228","CA","55+","Female","Other or Unknown",0
"229","CA","55+","Female","White",84
"230","CA","55+","Male","Black",920
"231","CA","55+","Male","Hispanic",713
"232","CA","55+","Male","Other or Unknown",18
"233","CA","55+","Male","White",1124
"234","CA","Under 18","Female","Black",0
"235","CA","Under 18","Female","Hispanic",21.556295281908
"236","CA","Under 18","Female","Other or Unknown",0
"237","CA","Under 18","Female","White",0
"238","CA","Under 18","Male","Black",1
"239","CA","Under 18","Male","Hispanic",131.193113484831
"240","CA","Under 18","Male","Other or Unknown",0
"241","CA","Under 18","Male","White",0
"242","CO","18-24","Female","Black",14
"243","CO","18-24","Female","Hispanic",124.514427031011
"244","CO","18-24","Female","Other or Unknown",0
"245","CO","18-24","Female","White",60
"246","CO","18-24","Male","Black",120
"247","CO","18-24","Male","Hispanic",726.147269286062
"248","CO","18-24","Male","Other or Unknown",0
"249","CO","18-24","Male","White",350
"250","CO","25-34","Female","Black",65
"251","CO","25-34","Female","Hispanic",400.363513024578
"252","CO","25-34","Female","Other or Unknown",0
"253","CO","25-34","Female","White",244
"254","CO","25-34","Male","Black",521
"255","CO","25-34","Male","Hispanic",2182.02710583406
"256","CO","25-34","Male","Other or Unknown",0
"257","CO","25-34","Male","White",1389
"258","CO","35-44","Female","Black",42
"259","CO","35-44","Female","Hispanic",290.423755594017
"260","CO","35-44","Female","Other or Unknown",0
"261","CO","35-44","Female","White",199
"262","CO","35-44","Male","Black",345
"263","CO","35-44","Male","Hispanic",1437.15948293896
"264","CO","35-44","Male","Other or Unknown",0
"265","CO","35-44","Male","White",1011
"266","CO","45-54","Female","Black",25
"267","CO","45-54","Female","Hispanic",102.748741004191
"268","CO","45-54","Female","Other or Unknown",0
"269","CO","45-54","Female","White",98
"270","CO","45-54","Male","Black",266
"271","CO","45-54","Male","Hispanic",668.496226982482
"272","CO","45-54","Male","Other or Unknown",0
"273","CO","45-54","Male","White",671
"274","CO","55+","Female","Black",8
